,Title,Published_date,Views,Likes,Favourites,Comments,Month
67,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,42022,1009,0,51,Apr
68,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,38046,1069,0,34,Apr
69,Google Business Intelligence Professional Certification Review,2023-04-18,34405,1023,0,64,Apr
70,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,132550,3876,0,372,Apr
71,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,31491,886,0,45,Apr
72,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,37502,1741,0,86,Mar
73,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,23808,626,0,24,Mar
74,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,113086,3659,0,194,Mar
75,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,36875,916,0,38,Mar
76,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11117,398,0,33,Mar
77,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,67392,1303,0,54,Feb
78,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,33369,819,0,61,Feb
79,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,433247,8237,0,224,Feb
80,FREE Data Analyst Bootcamp!!,2023-02-07,723047,25805,0,1215,Feb
81,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,860697,31459,0,928,Jan
82,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,17172,625,0,23,Jan
83,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,33885,1285,0,116,Jan
84,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,21246,676,0,44,Jan
85,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,45448,1365,0,36,Jan
86,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,57812,2816,0,222,Jan
87,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,43589,981,0,61,Jan
88,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,5827,195,0,12,Dec
89,Why I Quit my 125k Analytics Job,2022-12-20,153846,8604,0,867,Dec
90,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,5029,168,0,16,Dec
91,Converting Data Types in Python | Python for Beginners,2022-12-13,23742,709,0,25,Dec
